(Time, ID): (11.050000000000, 25bue1) | (M, Li): (0.1771300118E+01, -0.948902224004269E+01) | Ra/Lat: (143.56171264, -34.39409826) T
(Time, ID): (11.050000000000, 30bue1) | (M, Li): (0.1015433146E+01, -0.678219025209546E+01) | Ra/Lat: (143.56171264, -34.39409826) T
(Time, ID): (11.050000000000, 1cas1) | (M, Li): (0.1111398580E+01, -0.700466245412827E+00) | Ra/Lat: (312.60071817, -66.14131919) F
(Time, ID): (11.050000000000, 2cas1) | (M, Li): (0.2049488384E+01, -0.449638548120856E+01) | Ra/Lat: (312.60071817, -66.14131919) F
(Time, ID): (11.050000000000, 4cas1) | (M, Li): (0.1432336031E+01, 0.781877227127552E-01) | Ra/Lat: (312.60071817, -66.14131919) F
(Time, ID): (11.050000000000, 6cas1) | (M, Li): (0.2328613314E+01, -0.201272013783455E+01) | Ra/Lat: (312.60071817, -66.14131919) T
(Time, ID): (11.050000000000, 13cas1) | (M, Li): (0.1043545890E+01, 0.104885260760784E+01) | Ra/Lat: (312.60071817, -66.14131919) F
(Time, ID): (11.050000000000, 16cas1) | (M, Li): (0.1825140046E+01, -0.283645875751972E-01) | Ra/Lat: (312.60071817, -66.14131919) F
(Time, ID): (11.050000000000, 17cas1) | (M, Li): (0.2557105957E+01, -0.205465016886592E+01) | Ra/Lat: (312.60071817, -66.14131919) T
(Time, ID): (11.050000000000, 20cas1) | (M, Li): (0.2275225812E+01, 0.177798269689083E+01) | Ra/Lat: (312.60071817, -66.14131919) F
(Time, ID): (11.050000000000, 24cas1) | (M, Li): (0.1409154689E+01, -0.339891628548503E+01) | Ra/Lat: (312.60071817, -66.14131919) F
(Time, ID): (11.050000000000, 25cas1) | (M, Li): (0.2571562959E+01, -0.217225733399391E+01) | Ra/Lat: (312.60071817, -66.14131919) T
(Time, ID): (11.050000000000, 27cas1) | (M, Li): (0.2254264672E+01, -0.503434089198709E+01) | Ra/Lat: (312.60071817, -66.14131919) F
(Time, ID): (11.050000000000, 9casc) | (M, Li): (0.1116309191E+01, -0.133925035595894E+01) | Ra/Lat: (192.66249063, 38.50577506) T
(Time, ID): (11.050000000000, 18casc) | (M, Li): (0.1432665421E+01, -0.172043520957232E+01) | Ra/Lat: (192.66249063, 38.50577506) T
(Time, ID): (11.050000000000, 26casc) | (M, Li): (0.1064986831E+01, -0.150158938392997E+01) | Ra/Lat: (192.66249063, 38.50577506) T
(Time, ID): (11.050000000000, 29casc) | (M, Li): (0.1235181650E+01, -0.256826457008719E+01) | Ra/Lat: (192.66249063, 38.50577506) T
(Time, ID): (11.050000000000, 9ceda) | (M, Li): (0.1927964803E+01, -0.217609545588493E+01) | Ra/Lat: (89.22053163, 40.49059538) F
(Time, ID): (11.050000000000, 14ceda) | (M, Li): (0.1121814678E+01, -0.522174430638552E+01) | Ra/Lat: (89.22053163, 40.49059538) F
(Time, ID): (11.050000000000, 15ceda) | (M, Li): (0.1047122208E+01, -0.317536888644099E+01) | Ra/Lat: (89.22053163, 40.49059538) F
(Time, ID): (11.050000000000, 18ceda) | (M, Li): (0.1359858233E+01, -0.436203221604228E+01) | Ra/Lat: (89.22053163, 40.49059538) F
